VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Latitude,Longitude
5YJSA1E22K,King,Seattle,WA,98112.0,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.300312,47.629782
3MW39FS05R,Yakima,Zillah,WA,98953.0,2024,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-120.2658133,46.4063477
1N4AZ0CP0F,King,Kent,WA,98031.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.201564,47.402358
5YJSA1H20F,Snohomish,Bothell,WA,98012.0,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.206146,47.839957
JTMAB3FV1N,Yakima,Yakima,WA,98908.0,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-120.611068,46.596645
5YJ3E1EB6K,King,Redmond,WA,98052.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1207376,47.6705374
5YJ3E1EB0J,Thurston,Yelm,WA,98597.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.5715761,46.9095798
3FA6P0SU8D,Kitsap,Poulsbo,WA,98370.0,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.6368884,47.7469547
5YJSA1E21H,King,Redmond,WA,98052.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1207376,47.6705374
5YJ3E1EA4J,Snohomish,Bothell,WA,98012.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.206146,47.839957
5YJSA1E22H,Thurston,Olympia,WA,98501.0,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.8733203,47.0133209
JTDKARFP9K,Kitsap,Poulsbo,WA,98370.0,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.6368884,47.7469547
1N4AZ0CP1F,Kitsap,Port Orchard,WA,98367.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.6530052,47.4739066
5YJ3E1EA4L,King,Kent,WA,98030.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1994204,47.3741045
3C3CFFGE2F,King,Shoreline,WA,98155.0,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.301507,47.761784
2C4RC1N76L,Thurston,Tumwater,WA,98512.0,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.957046,46.991391
5YJ3E1EA7L,Snohomish,Bothell,WA,98012.0,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.206146,47.839957
WBY73AW09P,Snohomish,Snohomish,WA,98296.0,2023,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,-122.121841,47.841036
1N4BZ0CP8H,King,Bellevue,WA,98007.0,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.1436732,47.6157551
5YJYGDEE9L,King,Bothell,WA,98011.0,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.201408,47.754528
5YJ3E1EB5K,Kitsap,Poulsbo,WA,98370.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.6368884,47.7469547
JTDKN3DP2C,Kitsap,Poulsbo,WA,98370.0,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.6368884,47.7469547
WAUTPBFF3G,Thurston,Olympia,WA,98513.0,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,-122.7654699,46.9970624
5YJ3E1EB0K,Yakima,Yakima,WA,98902.0,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-120.530331,46.59534
WBY8P2C51K,King,Seattle,WA,98112.0,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.300312,47.629782
5UXTA6C02N,Kitsap,Bainbridge Island,WA,98110.0,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,-122.5305071,47.6400595
1N4AZ0CP9F,King,Seattle,WA,98115.0,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,-122.3008235,47.6862671
